wijk,prioriteit,dagdeel,count,code,LAT,LNG
IJplein/Vogelbuurt,2,Nacht,11,N61,52.3894655,4.9208635
IJplein/Vogelbuurt,2,Ochtend,9,N61,52.3894655,4.9208635
IJplein/Vogelbuurt,3,Avond,1,N61,52.3894655,4.9208635
IJplein/Vogelbuurt,3,Ochtend,1,N61,52.3894655,4.9208635
Indische Buurt Oost,1,Avond,106,M32,52.363115,4.950387
Indische Buurt Oost,1,Middag,87,M32,52.363115,4.950387
Indische Buurt Oost,1,Nacht,57,M32,52.363115,4.950387
Indische Buurt Oost,1,Ochtend,36,M32,52.363115,4.950387
Indische Buurt Oost,2,Avond,18,M32,52.363115,4.950387
Indische Buurt Oost,2,Middag,24,M32,52.363115,4.950387
Indische Buurt Oost,2,Nacht,10,M32,52.363115,4.950387
Indische Buurt Oost,2,Ochtend,11,M32,52.363115,4.950387
Indische Buurt Oost,3,Avond,1,M32,52.363115,4.950387
Indische Buurt West,1,Avond,90,M31,52.362194,4.936081
Indische Buurt West,1,Middag,78,M31,52.362194,4.936081
Indische Buurt West,1,Nacht,60,M31,52.362194,4.936081
Indische Buurt West,1,Ochtend,49,M31,52.362194,4.936081
Indische Buurt West,2,Avond,18,M31,52.362194,4.936081
Indische Buurt West,2,Middag,17,M31,52.362194,4.936081
Indische Buurt West,2,Nacht,12,M31,52.362194,4.936081
Indische Buurt West,2,Ochtend,5,M31,52.362194,4.936081
Indische Buurt West,3,Ochtend,1,M31,52.362194,4.936081
Jordaan,1,Avond,162,A06,52.3745525,4.8814385
Jordaan,1,Middag,138,A06,52.3745525,4.8814385
Jordaan,1,Nacht,94,A06,52.3745525,4.8814385
Jordaan,1,Ochtend,92,A06,52.3745525,4.8814385
Jordaan,2,Avond,16,A06,52.3745525,4.8814385
Jordaan,2,Middag,13,A06,52.3745525,4.8814385
Jordaan,2,Nacht,17,A06,52.3745525,4.8814385
Jordaan,2,Ochtend,14,A06,52.3745525,4.8814385
Jordaan,3,Avond,3,A06,52.3745525,4.8814385
Jordaan,3,Middag,1,A06,52.3745525,4.8814385
Kadoelen,1,Avond,40,N67,52.4161945,4.9091525
Kadoelen,1,Middag,24,N67,52.4161945,4.9091525
Kadoelen,1,Nacht,19,N67,52.4161945,4.9091525
Kadoelen,1,Ochtend,13,N67,52.4161945,4.9091525
Kadoelen,2,Avond,11,N67,52.4161945,4.9091525
Kadoelen,2,Middag,4,N67,52.4161945,4.9091525
Kadoelen,2,Nacht,4,N67,52.4161945,4.9091525
Kadoelen,2,Ochtend,2,N67,52.4161945,4.9091525
Kinkerbuurt,1,Avond,51,E18,52.368099,4.86544
Kinkerbuurt,1,Middag,53,E18,52.368099,4.86544
Kinkerbuurt,1,Nacht,28,E18,52.368099,4.86544
Kinkerbuurt,1,Ochtend,23,E18,52.368099,4.86544
Kinkerbuurt,2,Avond,11,E18,52.368099,4.86544
Kinkerbuurt,2,Middag,10,E18,52.368099,4.86544
Kinkerbuurt,2,Nacht,14,E18,52.368099,4.86544
Kinkerbuurt,2,Ochtend,5,E18,52.368099,4.86544
Landlust,1,Avond,221,E37,52.379876,4.854254
Landlust,1,Middag,187,E37,52.379876,4.854254
Landlust,1,Nacht,107,E37,52.379876,4.854254
